replicate	time	result	x	y	cue_reached
11	0	True	5.56156189918951859852	500.41176485823683606213	-1
11	50	True	6.75790360160221315056	501.94709270780094811926	-1
11	100	True	9.99331927071605363722	503.15600998923656561601	-1
11	150	True	14.20537117560178153042	504.14593649590045743025	-1
11	200	True	18.82085766181912234174	505.14252104409200683222	-1
11	250	True	23.48665936428259115587	505.53436082129246642580	-1
11	300	True	28.09527055929259020672	506.59434481192363364244	-1
11	350	True	32.78295369715934270971	507.24983916219730417652	-1
11	400	True	37.51906139222887759388	507.09642903846412309576	-1
11	450	True	42.17373859113168066415	507.01473872073245274805	-1
11	500	True	46.81802981615508230107	507.68664964156414498575	-1
11	550	True	51.50500963349731620156	508.34029591545498760752	-1
11	600	True	56.21267643537013469768	508.78007945344864992876	-1
11	650	True	60.94911088465744342102	508.71253143018475384451	-1
11	700	True	65.59869513560688858433	509.27668539100830003008	-1
11	750	True	70.19378558920134025811	510.27608138345004817893	-1
11	800	True	74.76365514827777758455	511.36427320513502081667	-1
11	850	True	79.32380613046376538477	512.70570392562638062373	-1
11	900	True	83.66512915224875257536	514.61115857756362856890	-1
11	950	True	87.90604098470195992832	516.44073870206489118573	-1
11	1000	True	92.44152869358818236378	517.76300499382080033683	-1
11	1050	True	97.09398289004687399029	518.74779128060561106395	-1
11	1100	True	101.71188141922507952586	519.43572760572999413853	-1
11	1150	True	106.34959376301121380948	520.09147206320562872861	-1
11	1200	True	110.94059387889173251551	521.14131609479716189526	-1
11	1250	True	115.63289537664199713163	521.37061522562203208508	-1
11	1300	True	120.13755059712752881751	522.72107472537436478888	-1
11	1350	True	124.16364027590606156082	525.20635166933789150789	-1
11	1400	True	128.28829814628289796019	527.55591708008637397143	-1
11	1450	True	132.38004274821597050504	529.60617092268853411952	-1
11	1500	True	136.63153784106944499399	531.71273818940198907512	-1
11	1550	True	140.63451538548139296836	534.11506444401300086611	-1
11	1600	True	144.23164310183020120348	537.08570726666334849142	-1
11	1650	True	147.87551556296696730897	539.99745914407492364262	-1
11	1700	True	151.48344667636527560717	543.00507212402214918257	-1
11	1750	True	155.60258373972908430005	545.19073266437578695331	-1
11	1800	True	159.62531734916680647984	547.42434278653092860623	-1
11	1850	True	163.00595458284064420695	550.50325351525134465192	-1
11	1900	True	166.20997192258755603689	553.73374614725491937861	-1
11	1950	True	169.59207166083109541432	556.94256527333925532730	-1
11	2000	True	173.12062295490821384192	559.97722051993594050145	-1
11	2050	True	176.87122888542685927860	562.65832700003409172496	-1
11	2100	True	180.61299416911978710232	565.26249667480237803829	-1
11	2150	True	184.72193662406530734188	567.43002402485274160426	-1
11	2200	True	188.68834340213368250261	569.78571655196049050573	-1
11	2250	True	192.09792573968906026494	572.95938397029681254935	-1
11	2300	True	196.00030340870779355100	575.47693452265173164051	-1
11	2350	True	199.87546774734047971833	577.71947999014571450971	-1
11	2400	True	204.22796798477818924766	579.32915066683324312180	-1
11	2450	True	208.00318532127798221154	581.88971897867361349199	-1
11	2500	True	211.12181120858576832688	585.24327929291155214742	-1
11	2550	True	214.63060168139904249074	587.99553804264780865196	-1
11	2600	True	218.16825202991688570364	590.67359629620148098184	-1
11	2650	True	221.93024894269055380391	593.35248175558660932438	-1
11	2700	True	225.83909270007072223052	595.94286833427804594976	-1
11	2750	True	229.38795702659834319093	598.86999747969673535408	-1
11	2800	True	233.09159501666266578468	601.61434396786034994875	-1
11	2850	True	236.90245979302238765740	604.20548103545957019378	-1
11	2900	True	240.36960762401457714077	607.26761610414041570039	-1
11	2950	True	243.56384974915826546749	610.46084513526795944927	-1
11	3000	True	247.60657785954336418399	612.74695799923233607842	-1
11	3050	True	251.68839206463690061355	615.06067838690989901806	-1
11	3100	True	255.69508620507900786833	617.45145276754522001283	-1
11	3150	True	259.48799312370812231165	620.05227306714414226008	-1
11	3200	True	262.89622009692368465039	623.21343187882985148462	-1
11	3250	True	265.73710967193534315811	626.91241364467475705169	-1
11	3300	True	268.90764184836632466613	630.33225741682315401704	-1
11	3350	True	271.92505388929868104242	633.80933079937358343159	-1
11	3400	True	275.73852859286790817350	636.42559203757241448329	-1
11	3450	True	279.91583663512147950314	638.51420281146067736699	-1
11	3500	True	283.93650673167888953685	640.82753124606574601785	-1
11	3550	True	287.82134961655719962437	643.26934209679461673659	-1
11	3600	True	291.34010363382520836240	646.23425368399534818309	-1
11	3650	True	294.80793356444723940513	649.20949321930936548597	-1
11	3700	True	298.07815911841589695541	652.30203246936684990942	-1
11	3750	True	301.27777413004116624506	655.51941229573992586666	-1
11	3800	True	304.81828842318515171428	658.26124005693759499991	-1
11	3850	True	309.10968069541911518172	659.90409204171555757057	-1
11	3900	True	313.26977388625465437144	661.98741934890847460338	-1
11	3950	True	317.42480670350471427810	664.00166776986043259967	-1
11	4000	True	321.26204685488596624054	666.42557525938104845409	-1
11	4050	True	325.06447356559408490284	668.91614522224119809835	-1
11	4100	True	328.76260903857655648608	671.66787439730853748188	-1
11	4150	True	332.49272859175624716954	674.54419160510235542461	-1
11	4200	True	336.28641131637419903200	677.23095816318834749836	-1
11	4250	True	340.25660237148775877358	679.75556111284333837830	-1
11	4300	True	343.61585925564645549457	683.04264978756759774114	-1
11	4350	True	346.99475681681258265598	686.15668081297428670950	-1
11	4400	True	349.78302692018797870332	689.85963598852299583086	-1
11	4450	True	352.77196535656980813656	693.41285173198434677033	-1
11	4500	True	356.34031731179857160896	696.51601965905797442247	-1
11	4550	True	359.74603446415437701944	699.65689841699520457041	-1
11	4600	True	362.66237859399848275643	703.26243044322359310172	-1
11	4650	True	365.98265524017898542297	706.43317781833559365623	-1
