replicate	time	result	x	y	cue_reached
0	0	True	5.488135039273248	502.1518936637248	-1
0	50	True	8.39338599627715	502.0796499284463	-1
0	100	False	12.71392866629778	502.06089761161434	-1
0	100	False	12.71392866629778	502.06089761161434	-1
22	0	True	5.767444015098545	499.75007742441386	-1
22	50	True	8.587620884632555	500.6148710067943	-1
22	100	True	13.078694903000796	500.8789266422856	-1
22	150	True	17.73966385825629	501.38861979533925	-1
22	200	True	22.540601315369187	501.5537273006627	-1
22	250	True	27.339379264826807	501.3103188453346	-1
22	300	True	32.09409616673947	501.22314929540863	-1
22	350	True	36.89170005190349	501.68027477284176	-1
22	400	True	41.69331151101532	501.87731019476536	-1
22	450	True	46.51388972004666	502.1948692700342	-1
22	500	True	51.32331538448634	502.3101273236053	-1
22	550	True	56.08771728219655	502.7304051295055	-1
22	600	True	60.86332076698382	502.82961192037953	-1
22	650	True	65.67775824966283	502.6643519467205	-1
22	700	True	70.47402190215149	502.6074183663374	-1
22	750	True	75.32234829817041	502.64195653368887	-1
22	800	True	80.11941555608033	502.72915697622255	-1
22	850	True	84.91426140758249	503.183673304621	-1
22	900	True	89.6132071484805	504.20474639929466	-1
22	950	True	94.35240211413665	505.04013129181646	-1
22	1000	True	99.04653345939427	506.1422188308112	-1
22	1050	True	103.76256250979854	506.9785836748306	-1
22	1100	True	108.5287968720294	507.3687549606138	-1
22	1150	True	113.30512369198424	508.0950094415515	-1
22	1200	True	117.95694356116846	509.39065309983744	-1
22	1250	True	122.70010048663997	510.1114005923881	-1
22	1300	True	127.12847873012167	511.75730651084854	-1
22	1350	True	131.43324604722866	513.8572731592651	-1
22	1400	True	135.64811044306168	516.1309638799952	-1
22	1450	True	139.34294576223263	519.0892836367957	-1
22	1500	True	143.3572135941758	521.6110820170123	-1
22	1550	True	147.32231098349936	524.1817406988382	-1
22	1600	True	151.237325355757	526.7276873340692	-1
22	1650	True	154.46688543595582	530.0591072428582	-1
22	1700	True	157.75587718301523	533.193168520446	-1
22	1750	True	160.86928543534216	536.6305116616193	-1
22	1800	True	163.9250412371238	540.1648665968406	-1
22	1850	True	167.21836148270845	543.4361181966839	-1
22	1900	True	171.1309722748521	545.8894280778901	-1
22	1950	True	174.80228521781675	548.4540329269163	-1
22	2000	True	178.36518147903024	551.4422991137758	-1
22	2050	True	182.43336601183307	553.4912539685205	-1
22	2100	True	186.64725029203086	555.224673049538	-1
22	2150	True	190.3734717787469	557.9051759359492	-1
22	2200	True	193.98843388335885	560.782882769136	-1
22	2250	True	197.8537444084904	563.3292095052816	-1
22	2300	True	201.09108923834555	566.5927089750752	-1
22	2350	True	204.86765577978295	569.1062399718684	-1
22	2400	True	208.10623444925307	572.3309595800146	-1
22	2450	True	211.30930417506025	575.6305225026384	-1
22	2500	True	214.97241596830196	578.5231149368482	-1
22	2550	True	217.9332675724412	582.1812808270371	-1
22	2600	True	221.0126457260324	585.7364865723708	-1
22	2650	True	224.7804641623366	588.6145733444507	-1
22	2700	True	228.38471662165517	591.5383704132013	-1
22	2750	True	231.34397483901603	595.1028526557859	-1
22	2800	True	234.30554275812634	598.7503507887187	-1
22	2850	True	237.71138399680882	601.9970140750132	-1
22	2900	True	240.89247844810652	605.4245579962923	-1
22	2950	True	244.63988562817087	608.2745891928199	-1
22	3000	True	248.64649298942746	610.8184718372491	-1
22	3050	True	252.70490909282609	613.1659352121944	-1
22	3100	True	256.4540128975287	616.0440054052931	-1
22	3150	True	259.94295870484615	619.1888307584699	-1
22	3200	True	263.60889192479107	622.1538351432803	-1
22	3250	True	267.50436430618817	624.8300579568418	-1
22	3300	True	271.1396560142266	627.790218680266	-1
22	3350	True	274.51185600105595	630.9565470443017	-1
22	3400	True	277.59118595227767	634.4011668972649	-1
22	3450	True	280.4618706525854	637.9568359198598	-1
22	3500	True	283.70774025937226	641.0411651110849	-1
22	3550	True	287.187329243274	643.9209193968667	-1
22	3600	True	290.7600085084879	646.7291686035662	-1
22	3650	True	294.2217783385005	649.9024645981084	-1
22	3700	True	297.5483016431352	653.2046840511942	-1
22	3750	True	300.5808308778123	656.6966239833706	-1
22	3800	True	304.33987632264785	659.5249437337499	-1
22	3850	True	308.34796373901526	662.1702961648892	-1
22	3900	True	312.30897970652217	664.7474722756792	-1
22	3950	True	316.23991996541343	667.3356373752836	-1
22	4000	True	320.2506660127664	669.9144139725257	-1
22	4050	True	324.27675515829725	672.3649323909982	-1
22	4100	True	328.1737090102014	675.0608737665142	-1
22	4150	True	332.18777712706117	677.6279894046971	-1
22	4200	True	336.16264642509225	680.2386820363351	-1
22	4250	True	339.6834071189994	683.3562695385307	-1
22	4300	True	343.1005891272119	686.4694477697691	-1
22	4350	True	346.54027471642155	689.5279791512777	-1
22	4400	True	350.19389010931735	692.449961288609	-1
22	4450	True	354.0729757598513	695.0400851733962	-1
22	4500	True	357.93974387992023	697.694330583132	-1
22	4550	True	362.0203188314515	700.0320351385095	-1
22	4600	True	365.8289869692413	702.9314358772883	-1
22	4650	True	369.26414940134606	706.1775202845879	-1
22	4700	True	371.82428551244146	710.1007228927981	-1
22	4750	True	374.4287805907913	714.0039738929249	-1
22	4800	True	377.65379999925176	717.44087470593	-1
22	4846	True	380.90758341610507	720.284209987008	1
20	0	True	5.313832600003544	500.3742602544965	-1
20	50	True	7.312768210008248	500.93050347687716	-1
20	100	True	11.461660552029814	501.2419046933862	-1
20	150	True	16.18876410121747	501.09746478891395	-1
20	200	True	20.931235314967225	501.065900059562	-1
20	250	True	25.594689599006482	500.44978008208926	-1
20	300	True	30.191458057700434	499.2069396359333	-1
20	350	True	34.896181496601436	498.4533709977383	-1
20	400	True	39.62171654064322	497.7319818240072	-1
20	450	True	44.404646945856804	497.2723593861987	-1
20	500	True	49.08293852273975	496.8596084488711	-1
20	550	True	53.79508920094826	496.1206427990831	-1
20	600	True	58.443043517867416	495.17463859571177	-1
20	650	True	63.183625757421716	494.31120243394344	-1
20	700	True	67.964015602331	493.728226643259	-1
20	750	True	72.73712409449513	493.0472196685538	-1
20	800	True	77.45350732430464	492.1041103895815	-1
20	850	True	81.95297865980052	490.5721990595066	-1
20	900	True	86.63527939234251	489.4921632125808	-1
20	950	True	91.27096370644644	488.4443148888253	-1
20	1000	True	95.91413960655687	487.4236455261653	-1
20	1050	True	100.54108595282942	486.34169258458894	-1
20	1100	True	105.00468112479071	484.59190449403087	-1
20	1150	True	109.530883987253	483.06682303202143	-1
