alpha	beta	Jinit	J12	Jmax	theta0
0.2	0.005	4	12	10	0.3490658503988659

omega	theta1_i	theta2_i	theta1_f	theta2_f	J1_f	J2_f
0.0	-1.5707963267948966	-1.5707963267948966	1.49995593884516e-38	1.4999559388280734e-38	10.0	10.0
0.0	-1.5707963267948966	-1.3463968515384828	-6.912053875004662e-38	5.479373700975572e-38	10.0	10.0
0.0	-1.5707963267948966	-1.121997376282069	-5.96953360771697e-39	7.099761454174024e-39	10.0	10.0
0.0	-1.5707963267948966	-0.8975979010256552	-1.1903670329369587e-36	-3.406276187957138e-37	10.0	10.0
0.0	-1.5707963267948966	-0.6731984257692414	-8.184480623983023e-33	8.291876603619387e-33	10.0	10.0
0.0	-1.5707963267948966	-0.4487989505128276	-6.241450446333516e-42	4.278579644236363e-42	10.0	10.0
0.0	-1.5707963267948966	-0.2243994752564138	-5.9959751470390665e-36	3.4795863395118565e-36	10.0	10.0
0.0	-1.5707963267948966	0.0	9.703187787329358e-35	9.70733225442123e-35	10.0	10.0
0.0	-1.5707963267948966	0.2243994752564138	2.4511209223406528e-33	1.7306716460744486e-33	10.000000000000021	10.000000000000021
0.0	-1.5707963267948966	0.4487989505128276	4.2765364968194016e-38	4.292972145663358e-38	10.0	10.0
0.0	-1.5707963267948966	0.6731984257692414	1.0397836907544587e-39	9.396134986748621e-40	10.0	10.0
0.0	-1.5707963267948966	0.8975979010256552	6.690808777966771e-39	6.713283176085013e-39	10.0	10.0
0.0	-1.5707963267948966	1.121997376282069	-1.5419288034092187e-30	-1.4922726696830385e-30	10.000000000000023	10.000000000000023
0.0	-1.5707963267948966	1.3463968515384828	-5.542171558552895e-36	-1.806521279987048e-36	10.0	10.0
0.0	-1.5707963267948966	1.5707963267948966	9.091983463384283e-37	-7.074800788468559e-37	10.0	10.0
0.0	-1.3463968515384828	-1.5707963267948966	5.430375701823722e-38	-6.962595160699967e-38	10.0	10.0
0.0	-1.3463968515384828	-1.3463968515384828	-3.863113670536319e-32	-3.8631136703630366e-32	9.99999999999999	9.99999999999999
0.0	-1.3463968515384828	-1.121997376282069	7.950927172282505e-31	-7.949748856658667e-31	10.0	10.0
0.0	-1.3463968515384828	-0.8975979010256552	-8.9939538085467e-43	8.598701900128714e-43	10.0	10.0
0.0	-1.3463968515384828	-0.6731984257692414	1.1692131740087844e-40	-1.3043509709781593e-40	10.0	10.0
0.0	-1.3463968515384828	-0.4487989505128276	2.9059677763872927e-33	2.9199958301829517e-33	10.000000000000009	10.00000000000001
0.0	-1.3463968515384828	-0.2243994752564138	6.75119918255478e-36	2.7734989906052425e-36	10.0	10.0
0.0	-1.3463968515384828	0.0	-7.88795505170067e-34	-7.880930381562275e-34	10.0	10.0
0.0	-1.3463968515384828	0.2243994752564138	6.702127144922538e-41	6.703415965813542e-41	10.0	10.0
0.0	-1.3463968515384828	0.4487989505128276	2.04234112111486e-32	1.9712368635594318e-32	10.0	10.0
0.0	-1.3463968515384828	0.6731984257692414	2.0768335858005277e-33	2.175349325881017e-33	10.0	10.0
0.0	-1.3463968515384828	0.8975979010256552	-5.771323921353943e-28	5.147924673703744e-28	10.0	10.0
0.0	-1.3463968515384828	1.121997376282069	4.4806574913169607e-38	-3.9524746134403196e-38	10.0	10.0
0.0	-1.3463968515384828	1.3463968515384828	-5.098852191173174e-42	3.970679216745434e-42	10.0	10.0
0.0	-1.3463968515384828	1.5707963267948966	1.8066240814851637e-36	5.542294920331288e-36	10.0	10.0
0.0	-1.121997376282069	-1.5707963267948966	7.916028058946622e-39	-5.1462105283516705e-39	10.0	10.0
0.0	-1.121997376282069	-1.3463968515384828	-7.927088267320166e-31	7.973045631701815e-31	10.0	10.0
0.0	-1.121997376282069	-1.121997376282069	-5.044674604145808e-29	-5.044674604145808e-29	10.0	10.0
0.0	-1.121997376282069	-0.8975979010256552	-9.807381498238875e-36	7.768783555763968e-36	10.0	10.0
0.0	-1.121997376282069	-0.6731984257692414	5.17163308080766e-35	5.19588339710917e-35	9.999999999998542	9.999999999998542
0.0	-1.121997376282069	-0.4487989505128276	-2.229138611384705e-35	-4.393651446216321e-36	10.0	10.0
0.0	-1.121997376282069	-0.2243994752564138	4.065923283905704e-32	-5.423263475318271e-32	10.0	10.0
0.0	-1.121997376282069	0.0	-2.8924179633727805e-41	-2.893479221265762e-41	10.0	10.0
0.0	-1.121997376282069	0.2243994752564138	-1.0007105031570165e-39	2.993251684786043e-40	10.0	10.0
0.0	-1.121997376282069	0.4487989505128276	-2.6710144591209055e-38	2.540834804614115e-38	10.0	10.0
0.0	-1.121997376282069	0.6731984257692414	-1.347402234788269e-32	-2.361156144826588e-32	10.0	10.0
0.0	-1.121997376282069	0.8975979010256552	-2.908480672651205e-36	-1.305807768741758e-36	10.0	10.0
0.0	-1.121997376282069	1.121997376282069	-3.2833356517692047e-39	2.8125572686584122e-39	10.0	10.0
0.0	-1.121997376282069	1.3463968515384828	3.958116595164184e-38	-4.475114209644918e-38	10.0	10.0
0.0	-1.121997376282069	1.5707963267948966	1.4921748993964515e-30	1.5418317360481506e-30	10.000000000000023	10.000000000000023
0.0	-0.8975979010256552	-1.5707963267948966	-1.488991830625938e-36	-2.339132175463077e-36	10.0	10.0
0.0	-0.8975979010256552	-1.3463968515384828	8.823066570292809e-43	-8.76858062595533e-43	10.0	10.0
0.0	-0.8975979010256552	-1.121997376282069	8.628962329655497e-36	-8.94847377811697e-36	10.0	10.0
0.0	-0.8975979010256552	-0.8975979010256552	-1.5841390244911815e-29	-1.5841462297111598e-29	10.0	10.0
0.0	-0.8975979010256552	-0.6731984257692414	-7.200053523274856e-41	1.7201725107309151e-40	10.0	10.0
0.0	-0.8975979010256552	-0.4487989505128276	8.787290137926309e-38	-1.2653210787772024e-37	10.0	10.0
0.0	-0.8975979010256552	-0.2243994752564138	2.311596222071426e-41	2.3106496528246196e-41	10.000000000000002	10.0
0.0	-0.8975979010256552	0.0	-1.4222084916724522e-37	-1.3515076350340106e-37	10.0	10.0
0.0	-0.8975979010256552	0.2243994752564138	-3.5585637883056804e-34	-3.5494281707478517e-34	10.0	10.0
0.0	-0.8975979010256552	0.4487989505128276	6.933298042142714e-29	6.994791768958236e-29	10.0	10.0
0.0	-0.8975979010256552	0.6731984257692414	-6.721884523866621e-32	-6.603002103657964e-32	10.0	10.0
0.0	-0.8975979010256552	0.8975979010256552	2.186237604791154e-40	-2.1552404160484576e-40	10.0	10.0
0.0	-0.8975979010256552	1.121997376282069	1.3064336008942326e-36	2.9091804014807876e-36	10.0	10.0
0.0	-0.8975979010256552	1.3463968515384828	-8.245799273853574e-28	1.4496740250814725e-28	10.0	10.0
0.0	-0.8975979010256552	1.5707963267948966	-6.758142520126817e-39	-6.73567004951201e-39	10.0	10.0
0.0	-0.6731984257692414	-1.5707963267948966	8.22198872811908e-33	-8.250625492014212e-33	10.0	10.0
0.0	-0.6731984257692414	-1.3463968515384828	-1.3163883120029739e-40	1.1552414170919567e-40	10.0	10.0
0.0	-0.6731984257692414	-1.121997376282069	5.183035381836371e-35	5.158785823546132e-35	9.999999999998542	9.99999999999854
0.0	-0.6731984257692414	-0.8975979010256552	1.7292766723457819e-40	-7.055550372453523e-41	10.0	10.0
0.0	-0.6731984257692414	-0.6731984257692414	3.4895818964639743e-28	3.489581909923074e-28	10.000000000000009	10.000000000000009
0.0	-0.6731984257692414	-0.4487989505128276	-4.0798482937025084e-42	-4.0879270901302576e-42	10.0	10.0
0.0	-0.6731984257692414	-0.2243994752564138	-5.803867213081613e-38	-5.798469652574458e-38	10.0	10.0
0.0	-0.6731984257692414	0.0	1.78171403437365e-42	1.8206435604198857e-42	10.0	10.0
0.0	-0.6731984257692414	0.2243994752564138	-1.0952284935441113e-35	-7.953733867192386e-36	10.0	10.0
0.0	-0.6731984257692414	0.4487989505128276	4.496753601757843e-36	-5.143519407653208e-37	10.0	10.0
0.0	-0.6731984257692414	0.6731984257692414	1.8668060519586637e-40	-1.6908976221676638e-40	10.0	10.0
0.0	-0.6731984257692414	0.8975979010256552	6.603657025876791e-32	6.722564993743397e-32	10.0	10.0
0.0	-0.6731984257692414	1.121997376282069	2.3769015003165676e-32	1.3592713171957152e-32	10.0	10.0
0.0	-0.6731984257692414	1.3463968515384828	-2.1755404009983605e-33	-2.0769933469165768e-33	10.0	10.0
0.0	-0.6731984257692414	1.5707963267948966	-9.396601244800926e-40	-1.039830252413912e-39	10.0	10.0
0.0	-0.4487989505128276	-1.5707963267948966	4.996214334026986e-42	-5.524249822156381e-42	10.0	10.0
0.0	-0.4487989505128276	-1.3463968515384828	2.929192013861495e-33	2.9151640799446437e-33	10.00000000000001	10.000000000000009
0.0	-0.4487989505128276	-1.121997376282069	-4.897607912447852e-36	-2.279752620357518e-35	10.0	10.0
0.0	-0.4487989505128276	-0.8975979010256552	-1.265394790834541e-37	8.786554462033474e-38	10.0	10.0
0.0	-0.4487989505128276	-0.6731984257692414	-4.092662252417598e-42	-4.084564829144201e-42	10.0	10.0
0.0	-0.4487989505128276	-0.4487989505128276	-1.5400819593594656e-34	-1.5400819040317913e-34	10.0	10.0
0.0	-0.4487989505128276	-0.2243994752564138	1.3444077081528902e-41	1.404386178255965e-41	10.0	10.0
0.0	-0.4487989505128276	0.0	2.6028855962744344e-35	2.65026837028067e-35	10.0	10.0
0.0	-0.4487989505128276	0.2243994752564138	-3.9631701202357246e-41	-3.9604761255995217e-41	10.0	10.0
0.0	-0.4487989505128276	0.4487989505128276	5.363186954548241e-46	6.503770419223754e-45	10.0	10.0
0.0	-0.4487989505128276	0.6731984257692414	4.8745368602754965e-37	-4.524302811102284e-36	10.0	10.0
0.0	-0.4487989505128276	0.8975979010256552	-7.019618225125284e-29	-6.979788447841973e-29	10.0	10.0
0.0	-0.4487989505128276	1.121997376282069	-1.0114252477067548e-37	-4.864237718893867e-38	10.0	10.0
0.0	-0.4487989505128276	1.3463968515384828	-1.2295670449858488e-32	-1.2914588079149777e-32	10.0	10.0
0.0	-0.4487989505128276	1.5707963267948966	-4.2840046659694277e-38	-4.2661104712006776e-38	10.0	10.0
0.0	-0.2243994752564138	-1.5707963267948966	3.544721768137131e-36	-5.932452856322909e-36	10.000000000000002	10.0
0.0	-0.2243994752564138	-1.3463968515384828	2.6858174200920403e-36	6.663567019731522e-36	10.0	10.0
0.0	-0.2243994752564138	-1.121997376282069	-5.448940024931834e-32	4.0827422096046815e-32	10.0	10.0
0.0	-0.2243994752564138	-0.8975979010256552	2.3104438419201686e-41	2.3113824247114594e-41	10.0	10.0
0.0	-0.2243994752564138	-0.6731984257692414	-5.799364290207218e-38	-5.804759219044377e-38	10.0	10.0
0.0	-0.2243994752564138	-0.4487989505128276	1.4046981191951547e-41	1.3447268279230158e-41	10.0	10.0
0.0	-0.2243994752564138	-0.2243994752564138	-9.449558343036548e-30	-9.288715064609263e-30	10.0	10.0
0.0	-0.2243994752564138	0.0	1.0617173478236547e-40	-1.8225940747388357e-40	10.0	10.0
0.0	-0.2243994752564138	0.2243994752564138	1.774610186649752e-44	-1.7000199109462023e-44	10.0	10.0
0.0	-0.2243994752564138	0.4487989505128276	3.964733007550948e-41	3.967425320241905e-41	10.0	10.0
0.0	-0.2243994752564138	0.6731984257692414	7.941623725097836e-36	1.0933054698637119e-35	10.0	10.0
0.0	-0.2243994752564138	0.8975979010256552	3.549590264602788e-34	3.5586428861422636e-34	10.0	10.0
0.0	-0.2243994752564138	1.121997376282069	-2.959952543530335e-40	1.0072641332932042e-39	10.0	10.0
0.0	-0.2243994752564138	1.3463968515384828	-6.716551239298881e-41	-6.715264658384069e-41	10.0	10.0
0.0	-0.2243994752564138	1.5707963267948966	-1.7513243491362358e-33	-2.4717670507222905e-33	10.000000000000021	10.000000000000021
0.0	0.0	-1.5707963267948966	9.617025338333326e-35	9.61292133909011e-35	10.0	10.0
0.0	0.0	-1.3463968515384828	-1.5888109600664608e-37	-1.589033699221843e-37	10.0	10.0
0.0	0.0	-1.121997376282069	-2.892192707653993e-41	-2.8911381777046204e-41	10.0	10.0
0.0	0.0	-0.8975979010256552	-1.3245789293628146e-37	-1.3950591734031477e-37	10.0	10.0
0.0	0.0	-0.6731984257692414	1.8124094822145217e-42	1.7734869101831565e-42	10.0	10.0
0.0	0.0	-0.4487989505128276	2.62164693281706e-35	2.5743541798293477e-35	10.0	10.0
0.0	0.0	-0.2243994752564138	-1.9534121584346754e-40	9.308852424991076e-41	10.0	10.0
0.0	0.0	0.0	0.0	0.0	10.0	10.0
0.0	0.0	0.2243994752564138	1.2349044536486426e-40	-1.6493900593006756e-40	10.0	10.0
0.0	0.0	0.4487989505128276	-2.6063045039466806e-35	-2.5589295268192196e-35	10.0	10.0
0.0	0.0	0.6731984257692414	-1.798979267620617e-42	-1.7600599236869282e-42	10.0	10.0
0.0	0.0	0.8975979010256552	1.3079577141272509e-37	1.379959361601753e-37	10.0	10.0
0.0	0.0	1.121997376282069	2.8879314582325277e-41	2.8868776809976707e-41	10.0	10.0
0.0	0.0	1.3463968515384828	1.628988099055372e-37	1.6292080346976178e-37	10.0	10.0
0.0	0.0	1.5707963267948966	-9.567528689923467e-35	-9.563446524594009e-35	10.0	10.0
0.0	0.2243994752564138	-1.5707963267948966	1.7321984193774697e-33	2.452619662951107e-33	10.000000000000021	10.000000000000021
0.0	0.2243994752564138	-1.3463968515384828	6.699950822902169e-41	6.698662752007937e-41	10.0	10.0
0.0	0.2243994752564138	-1.121997376282069	3.1428924738013753e-40	-9.888796579971584e-40	10.0	10.0
0.0	0.2243994752564138	-0.8975979010256552	-3.549566193318083e-34	-3.5586189316387267e-34	10.0	10.0
0.0	0.2243994752564138	-0.6731984257692414	-7.957576873147377e-36	-1.0956213167806883e-35	10.0	10.0
0.0	0.2243994752564138	-0.4487989505128276	-3.9620596453831787e-41	-3.964754252155941e-41	10.0	10.0
0.0	0.2243994752564138	-0.2243994752564138	-1.706804831879933e-44	1.7676907797093186e-44	10.0	10.0
0.0	0.2243994752564138	0.0	-2.811463622772837e-40	7.258344202845438e-42	10.0	10.0
0.0	0.2243994752564138	0.2243994752564138	7.916876330966547e-30	7.751822093775698e-30	10.0	10.0
0.0	0.2243994752564138	0.4487989505128276	-1.4217522024520732e-41	-1.3617721200060635e-41	10.0	10.000000000000002
0.0	0.2243994752564138	0.6731984257692414	5.796935878202402e-38	5.802334314538538e-38	10.0	10.0
0.0	0.2243994752564138	0.8975979010256552	-2.319226687802953e-41	-2.327613257944086e-41	10.0	10.0
0.0	0.2243994752564138	1.121997376282069	5.408617884389859e-32	-4.041680122856185e-32	10.0	10.0
0.0	0.2243994752564138	1.3463968515384828	-2.75983486092025e-36	-6.737654284697652e-36	10.0	10.0
0.0	0.2243994752564138	1.5707963267948966	-3.5371097296653835e-36	5.940098029449117e-36	10.0	10.0
0.0	0.4487989505128276	-1.5707963267948966	4.2882953558682884e-38	4.2718436187949106e-38	10.0	10.0
0.0	0.4487989505128276	-1.3463968515384828	1.1791017357307483e-32	1.3197648139290775e-32	10.0	10.0
0.0	0.4487989505128276	-1.121997376282069	5.005185467657812e-38	-1.912184976830775e-39	10.0	10.0
0.0	0.4487989505128276	-0.8975979010256552	6.989769256099865e-29	6.928362685613622e-29	10.0	10.0
0.0	0.4487989505128276	-0.6731984257692414	-5.356182138058951e-37	4.4758813225828006e-36	10.0	10.0
0.0	0.4487989505128276	-0.4487989505128276	1.218160023964577e-44	6.213965657667277e-45	10.0	10.0
0.0	0.4487989505128276	-0.2243994752564138	3.9669006369131445e-41	3.96420694782748e-41	10.0	10.0
0.0	0.4487989505128276	0.0	-2.5582756280092354e-35	-2.605636747636843e-35	10.0	10.0
0.0	0.4487989505128276	0.2243994752564138	-1.3724449891526226e-41	-1.4414722106296187e-41	10.0	10.0
0.0	0.4487989505128276	0.4487989505128276	1.54008098466611e-34	1.54008098466611e-34	10.0	10.0
0.0	0.4487989505128276	0.6731984257692414	4.0833477308522756e-42	4.075238332445192e-42	10.0	10.0
