alpha	beta	Jinit	J12	Jmax	theta0
0.2	0.005	6	12	10	0.3490658503988659

omega	theta1_i	theta2_i	theta1_f	theta2_f	J1_f	J2_f
0.0	-1.5707963267948966	-1.5707963267948966	-8.551307565017428e-29	-8.549339933471307e-29	10.0	10.0
0.0	-1.5707963267948966	-1.3463968515384828	8.411606376730539e-45	-1.0139829667537995e-44	10.0	10.0
0.0	-1.5707963267948966	-1.121997376282069	-1.2527071593992306e-38	-1.0301110416521379e-38	10.0	10.0
0.0	-1.5707963267948966	-0.8975979010256552	-5.522733954417547e-39	3.464599123832417e-39	10.0	10.0
0.0	-1.5707963267948966	-0.6731984257692414	5.340447561939915e-37	9.798959142592244e-39	10.0	10.0
0.0	-1.5707963267948966	-0.4487989505128276	-5.846101717878081e-43	-5.826967790093578e-43	10.0	10.0
0.0	-1.5707963267948966	-0.2243994752564138	-3.7855542125125876e-41	-2.1390561398300293e-41	10.0	10.0
0.0	-1.5707963267948966	0.0	-3.334324215783142e-36	-3.337186612790872e-36	10.0	10.0
0.0	-1.5707963267948966	0.2243994752564138	-1.9546096367572061e-26	-1.9062234586226275e-26	9.999999999785802	9.999999999791395
0.0	-1.5707963267948966	0.4487989505128276	8.975237616828609e-38	-1.1430513294092952e-35	10.0	10.0
0.0	-1.5707963267948966	0.6731984257692414	1.0825042579358416e-36	1.096671132391056e-36	10.0	10.0
0.0	-1.5707963267948966	0.8975979010256552	3.767300377816672e-33	3.888880020220114e-33	10.0	10.0
0.0	-1.5707963267948966	1.121997376282069	-6.85956435562098e-37	-7.0141154773171516e-37	10.000000000000002	10.0
0.0	-1.5707963267948966	1.3463968515384828	-3.042078849977972e-34	1.7907939982288695e-34	10.0	10.0
0.0	-1.5707963267948966	1.5707963267948966	-7.231244859779079e-38	7.186891727053717e-38	10.0	10.0
0.0	-1.3463968515384828	-1.5707963267948966	-9.096075027165603e-45	9.453786792931191e-45	10.0	10.0
0.0	-1.3463968515384828	-1.3463968515384828	3.544077149245787e-29	3.580029548906786e-29	10.0	10.0
0.0	-1.3463968515384828	-1.121997376282069	9.677214474471112e-42	-6.382110701760112e-42	10.0	10.0
0.0	-1.3463968515384828	-0.8975979010256552	1.187660991410677e-36	1.3639365533437166e-37	10.0	10.0
0.0	-1.3463968515384828	-0.6731984257692414	-2.5483756171137874e-45	2.5477519528490863e-45	10.0	10.0
0.0	-1.3463968515384828	-0.4487989505128276	-1.6726836021045535e-36	-2.6251074211010375e-36	10.0	10.0
0.0	-1.3463968515384828	-0.2243994752564138	-2.0692373119544612e-38	1.3098417818916024e-38	10.0	10.0
0.0	-1.3463968515384828	0.0	7.334019825068844e-44	6.592697881779682e-44	10.0	10.0
0.0	-1.3463968515384828	0.2243994752564138	4.1043279181626505e-25	3.9419279982352955e-25	10.00000000070596	10.000000000690205
0.0	-1.3463968515384828	0.4487989505128276	-4.517874674976716e-37	-4.530737961984578e-37	10.0	10.0
0.0	-1.3463968515384828	0.6731984257692414	4.448556596614917e-35	4.4306843286627124e-35	10.0	10.0
