J12	Jmax	theta0
30	6	0.3490658503988659

omega	theta1_i	theta2_i	theta1_f	theta2_f
0.0	0.17453292519943295	-1.5707963267948966	-0.691316613232932	-0.691316613232932
0.0	0.17453292519943295	-1.415655948839845	-0.6122364879808412	-0.6122364879808412
0.0	0.17453292519943295	-1.2605155708847935	-0.531936467109385	-0.531936467109385
0.0	0.17453292519943295	-1.105375192929742	-0.4476910798757501	-0.4476910798757501
0.0	0.17453292519943295	-0.9502348149746905	1.637191858026588e-16	1.637176071868185e-16
0.0	0.17453292519943295	-0.795094437019639	8.2021470962934e-17	8.201649754126509e-17
0.0	0.17453292519943295	-0.6399540590645876	3.5708092097144644e-18	3.572949865804373e-18
0.0	0.17453292519943295	-0.48481368110953604	-1.6004853445126916e-17	-1.6005612773118666e-17
0.0	0.17453292519943295	-0.3296733031544845	-1.2969463356855066e-17	-1.296977810068374e-17
0.0	0.17453292519943295	-0.17453292519943295	-2.6740663545450683e-25	-2.970558814119628e-26
0.0	0.32967330315448445	-1.5707963267948966	-0.6160868264809943	-0.6160868264809942
0.0	0.32967330315448445	-1.415655948839845	-0.5358082492135133	-0.5358082492135132
0.0	0.32967330315448445	-1.2605155708847935	-0.45196197089136764	-0.45196197089136764
0.0	0.32967330315448445	-1.105375192929742	9.176727759577831e-19	9.164203910674183e-19
0.0	0.32967330315448445	-0.9502348149746905	1.9664419927682822e-16	1.9665480725421384e-16
0.0	0.32967330315448445	-0.795094437019639	-1.969673542083607e-18	-1.969022287764061e-18
0.0	0.32967330315448445	-0.6399540590645876	-2.2488164418230444e-19	-2.2484222427952196e-19
0.0	0.32967330315448445	-0.48481368110953604	7.421353350811665e-17	7.420946515250277e-17
0.0	0.32967330315448445	-0.3296733031544845	-2.983980915454568e-24	4.0552569855481734e-23
0.0	0.32967330315448445	-0.17453292519943295	1.2958536875161288e-17	1.295369580825166e-17
0.0	0.48481368110953593	-1.5707963267948966	-0.5364538544240424	-0.5364538544240423
0.0	0.48481368110953593	-1.415655948839845	-0.4526534263368313	-0.45265342633683125
0.0	0.48481368110953593	-1.2605155708847935	1.5616508250979783e-16	1.5615724331107263e-16
0.0	0.48481368110953593	-1.105375192929742	2.17010713964307e-16	2.1701375497351016e-16
0.0	0.48481368110953593	-0.9502348149746905	-1.534178321366296e-17	-1.5346381002546867e-17
0.0	0.48481368110953593	-0.795094437019639	2.1590472998116713e-17	2.158625398341859e-17
0.0	0.48481368110953593	-0.6399540590645876	1.314621167491e-18	1.3157545608794606e-18
0.0	0.48481368110953593	-0.48481368110953604	-4.597018825991226e-24	1.5010582872555514e-23
0.0	0.48481368110953593	-0.3296733031544845	-7.421392680018855e-17	-7.420898504881549e-17
0.0	0.48481368110953593	-0.17453292519943295	3.409543862325534e-16	3.409398121683454e-16
0.0	0.6399540590645875	-1.5707963267948966	-0.4526535222623788	-0.4526535222623788
0.0	0.6399540590645875	-1.415655948839845	4.7826187125466365e-17	4.7834963275325216e-17
0.0	0.6399540590645875	-1.2605155708847935	-4.0297656530615383e-16	-4.0298015520669266e-16
0.0	0.6399540590645875	-1.105375192929742	2.142940350135346e-17	2.1442917196671018e-17
0.0	0.6399540590645875	-0.9502348149746905	-1.8108782246571612e-17	-1.810835047948301e-17
0.0	0.6399540590645875	-0.795094437019639	-1.1202036386254295e-17	-1.1194512816234716e-17
0.0	0.6399540590645875	-0.6399540590645876	2.6771633023419103e-24	3.980331504856298e-23
0.0	0.6399540590645875	-0.48481368110953604	-1.3155224248466845e-18	-1.315550007739721e-18
0.0	0.6399540590645875	-0.3296733031544845	2.252461755103028e-19	2.253036973411566e-19
0.0	0.6399540590645875	-0.17453292519943295	-3.570618882334681e-18	-3.572943147096638e-18
0.0	0.795094437019639	-1.5707963267948966	-2.0444929701952e-18	-2.044669859901311e-18
0.0	0.795094437019639	-1.415655948839845	-4.633750321376249e-18	-4.633487467650284e-18
0.0	0.795094437019639	-1.2605155708847935	-2.159109275530152e-17	-2.1600475909770926e-17
0.0	0.795094437019639	-1.105375192929742	-1.3117135893619868e-17	-1.3113315599714666e-17
0.0	0.795094437019639	-0.9502348149746905	1.4000431305851615e-16	1.4000689698827433e-16
0.0	0.795094437019639	-0.795094437019639	-1.5847130925588943e-23	2.867481240479749e-23
0.0	0.795094437019639	-0.6399540590645876	1.1210851745215706e-17	1.120902767027567e-17
0.0	0.795094437019639	-0.48481368110953604	-2.1620698236911895e-17	-2.1628829567519302e-17
0.0	0.795094437019639	-0.3296733031544845	1.969910618074615e-18	1.9688624156812176e-18
0.0	0.795094437019639	-0.17453292519943295	-8.202859333311018e-17	-8.202548573079535e-17
0.0	0.9502348149746905	-1.5707963267948966	4.2391654360963226e-17	4.2399741505543e-17
