alpha	beta	Jinit	J12	Jmax	theta0
0.2	0.005	0.5	0.3	6	0.3490658503988659

omega	theta1_i	theta2_i	theta1_f	theta2_f	J1_f	J2_f
0.0	-1.5707963267948966	-1.5707963267948966	-1.9067608807998091e-34	-1.9062101349798938e-34	6.0	6.0
0.0	-1.5707963267948966	-1.4624655456366278	1.1683002631353376e-36	-1.1685815682970805e-36	6.0	6.0
0.0	-1.5707963267948966	-1.354134764478359	4.743754454676281e-37	-4.732987112908335e-37	6.0	6.0
0.0	-1.5707963267948966	-1.2458039833200902	5.67411600186534e-33	-2.4207989800486984e-33	6.0	6.0
0.0	-1.5707963267948966	-1.1374732021618217	2.0461211900961062e-35	-2.045461514384879e-35	6.0	6.0
0.0	-1.5707963267948966	-1.029142421003553	2.275810483797397e-36	-2.3239627198093416e-36	6.0	6.0
0.0	-1.5707963267948966	-0.9208116398452841	9.470454025082469e-29	-1.1055309606315461e-28	6.0	6.0
0.0	-1.5707963267948966	-0.8124808586870155	-2.4571555928190936e-34	2.609726455470175e-34	6.0	6.0
0.0	-1.5707963267948966	-0.7041500775287467	1.2106121047886544e-30	-1.2518101346594803e-30	6.000000000000005	6.000000000000004
0.0	-1.5707963267948966	-0.5958192963704779	-6.144407200304525e-32	6.201186153524808e-32	6.0	6.0
0.0	-1.5707963267948966	-0.48748851521220926	1.3032410980630857e-36	-2.223840485677718e-36	6.0	6.0
0.0	-1.5707963267948966	-0.3791577340539405	3.1278061721933763e-40	-3.1483507598708134e-40	6.0	6.0
0.0	-1.5707963267948966	-0.2708269528956717	-4.107124328204709e-34	5.9153870746050325e-34	6.0	6.0
0.0	-1.5707963267948966	-0.16249617173740294	6.647857611329393e-32	-6.100775629737385e-32	6.0	6.0
0.0	-1.5707963267948966	-0.05416539057913439	-8.543196089608366e-37	1.204197109076537e-36	6.0	6.0
0.0	-1.5707963267948966	0.05416539057913439	-2.7799393892609337e-37	3.3726757948254444e-37	6.0	6.0
0.0	-1.5707963267948966	0.16249617173740316	3.070282516843104e-33	-3.1488918476771104e-33	6.0	6.0
0.0	-1.5707963267948966	0.27082695289567194	3.154024723932173e-35	-4.6955356784655324e-35	6.0	6.0
0.0	-1.5707963267948966	0.3791577340539407	6.621222819227064e-35	-5.350779506065053e-35	6.0	6.0
0.0	-1.5707963267948966	0.48748851521220926	-3.1005404200952966e-32	3.096053024099239e-32	6.0	6.0
0.0	-1.5707963267948966	0.595819296370478	3.3473966315446545e-35	-3.0041022203658163e-35	6.0	6.0
0.0	-1.5707963267948966	0.7041500775287468	-5.926523973339778e-31	5.302187236321554e-31	6.0	6.0
0.0	-1.5707963267948966	0.8124808586870156	-1.6092911376116144e-29	1.605159219605664e-29	6.0	6.0
0.0	-1.5707963267948966	0.9208116398452844	-3.6811818027170934e-29	3.616493568014563e-29	6.0	6.0
0.0	-1.5707963267948966	1.0291424210035531	-2.5173669131100268e-29	3.501217355380618e-29	6.0	6.0
0.0	-1.5707963267948966	1.137473202161822	-5.7035456054088965e-36	5.7124469382796116e-36	6.0	6.0
0.0	-1.5707963267948966	1.2458039833200907	9.852923534497886e-38	-1.043967516438057e-37	6.0	6.0
0.0	-1.5707963267948966	1.354134764478359	3.4775462852153987e-37	-3.759645688774336e-37	6.0	6.0
0.0	-1.5707963267948966	1.4624655456366278	5.402601777846076e-32	-4.061008561574132e-32	6.0	6.0
0.0	-1.5707963267948966	1.5707963267948966	1.1836848459906558e-25	-1.1836812423551803e-25	6.000000000197177	6.000000000197177
0.0	-1.4624655456366278	-1.5707963267948966	-1.1685844708356373e-36	1.1682992956178458e-36	6.0	6.0
0.0	-1.4624655456366278	-1.4624655456366278	2.256932653895488e-29	2.2647336231741357e-29	6.0	6.0
0.0	-1.4624655456366278	-1.354134764478359	-1.9084276198919355e-31	2.1002846649926354e-31	6.0	6.0
0.0	-1.4624655456366278	-1.2458039833200902	-3.8679183174477636e-35	3.9374551898115425e-35	6.0	6.0
0.0	-1.4624655456366278	-1.1374732021618217	-5.243803508407646e-32	7.28812226984462e-32	6.00000000000001	6.00000000000001
0.0	-1.4624655456366278	-1.029142421003553	3.8470252920787554e-30	4.416108900283379e-30	6.0	6.0
0.0	-1.4624655456366278	-0.9208116398452841	-2.9437553589129137e-34	2.914061573466318e-34	6.0	6.0
0.0	-1.4624655456366278	-0.8124808586870155	-1.0311625751337214e-32	1.0355658938080407e-32	6.0	6.0
0.0	-1.4624655456366278	-0.7041500775287467	1.2798534200990569e-30	-1.3150841934065335e-30	6.000000000000005	6.000000000000004
0.0	-1.4624655456366278	-0.5958192963704779	9.801276118378805e-33	-9.782097638802678e-33	6.0	6.0
0.0	-1.4624655456366278	-0.48748851521220926	1.2540021080464133e-28	-1.3781773757897085e-28	6.0	6.0
0.0	-1.4624655456366278	-0.3791577340539405	3.58846534140387e-32	-3.1795566114923353e-32	6.0	6.0
0.0	-1.4624655456366278	-0.2708269528956717	-1.480830315428539e-31	8.957635007642725e-32	6.0	6.0
0.0	-1.4624655456366278	-0.16249617173740294	-4.5729575448897453e-32	4.5888056309783894e-32	6.0	6.0
0.0	-1.4624655456366278	-0.05416539057913439	4.7882969731293356e-35	-4.783113477836902e-35	6.0	6.0
0.0	-1.4624655456366278	0.05416539057913439	-1.1493503034862453e-33	1.153408632625883e-33	6.0	6.0
0.0	-1.4624655456366278	0.16249617173740316	8.08059023900794e-33	-8.574270949848082e-33	6.0	6.0
0.0	-1.4624655456366278	0.27082695289567194	8.608750230044868e-33	-9.244282696694197e-33	6.0	6.0
0.0	-1.4624655456366278	0.3791577340539407	2.492551934387312e-35	-2.50766853437056e-35	6.0	6.0
0.0	-1.4624655456366278	0.48748851521220926	1.925454277792369e-32	-1.5632344479027136e-32	6.0	6.0
0.0	-1.4624655456366278	0.595819296370478	4.183397756798237e-36	-3.672095725206208e-36	6.0	6.0
0.0	-1.4624655456366278	0.7041500775287468	-1.336692135196219e-30	8.54325069698892e-31	6.000000000000006	6.000000000000004
0.0	-1.4624655456366278	0.8124808586870156	2.4959105709885203e-35	-2.4696559237195667e-35	6.0	6.0
0.0	-1.4624655456366278	0.9208116398452844	5.536988880004293e-32	-1.606578152296442e-32	6.0	6.0
