K,omega1,omega2,theta1,theta2,omega_diff
100.1,0.8901179185171081,0,[   nan 0.4472    nan    nan],[    nan 0.44292     nan     nan],0.8901179185171081
100.1,0.9075712110370514,0,[    nan 0.45597     nan     nan],[    nan 0.45161     nan     nan],0.9075712110370514
100.1,0.9250245035569946,0,[    nan 0.46473     nan     nan],[    nan 0.46029     nan     nan],0.9250245035569946
100.1,0.9424777960769379,0,[   nan 0.4735    nan    nan],[    nan 0.46898     nan     nan],0.9424777960769379
100.1,0.9599310885968813,0,[    nan 0.48226     nan     nan],[    nan 0.47767     nan     nan],0.9599310885968813
100.1,0.9773843811168246,0,[    nan 0.49103     nan     nan],[    nan 0.48636     nan     nan],0.9773843811168246
100.1,0.9948376736367679,0,[    nan 0.49979     nan     nan],[    nan 0.49505     nan     nan],0.9948376736367679
100.1,1.0122909661567112,0,[    nan 0.50856     nan     nan],[    nan 0.50373     nan     nan],1.0122909661567112
100.1,1.0297442586766545,0,[    nan 0.51732     nan     nan],[    nan 0.51242     nan     nan],1.0297442586766545
100.1,1.0471975511965976,0,[    nan 0.52609     nan     nan],[    nan 0.52111     nan     nan],1.0471975511965976
100.1,1.064650843716541,0,[    nan 0.53485     nan     nan],[   nan 0.5298    nan    nan],1.064650843716541
100.1,1.0821041362364843,0,[    nan 0.54361     nan     nan],[    nan 0.53849     nan     nan],1.0821041362364843
100.1,1.0995574287564276,0,[    nan 0.55238     nan     nan],[    nan 0.54718     nan     nan],1.0995574287564276
100.1,1.117010721276371,0,[    nan 0.56114     nan     nan],[    nan 0.55587     nan     nan],1.117010721276371
100.1,1.1344640137963142,0,[   nan 0.5699    nan    nan],[    nan 0.56456     nan     nan],1.1344640137963142
100.1,1.1519173063162575,0,[    nan 0.57867     nan     nan],[    nan 0.57325     nan     nan],1.1519173063162575
100.1,1.1693705988362009,0,[    nan 0.58743     nan     nan],[    nan 0.58194     nan     nan],1.1693705988362009
100.1,1.1868238913561442,0,[    nan 0.59619     nan     nan],[    nan 0.59063     nan     nan],1.1868238913561442
100.1,1.2042771838760873,0,[    nan 0.60496     nan     nan],[    nan 0.59932     nan     nan],1.2042771838760873
100.1,1.2217304763960306,0,[    nan 0.61372     nan     nan],[    nan 0.60801     nan     nan],1.2217304763960306
100.1,1.239183768915974,0,[    nan 0.62248     nan     nan],[   nan 0.6167    nan    nan],1.239183768915974
100.1,1.2566370614359172,0,[    nan 0.63124     nan     nan],[    nan 0.62539     nan     nan],1.2566370614359172
100.1,1.2740903539558606,0,[ nan 0.64  nan  nan],[    nan 0.63409     nan     nan],1.2740903539558606
100.1,1.2915436464758039,0,[    nan 0.64877     nan     nan],[    nan 0.64278     nan     nan],1.2915436464758039
100.1,1.3089969389957472,0,[    nan 0.65753     nan     nan],[    nan 0.65147     nan     nan],1.3089969389957472
100.1,1.3264502315156905,0,[    nan 0.66629     nan     nan],[    nan 0.66016     nan     nan],1.3264502315156905
100.1,1.3439035240356338,0,[    nan 0.67505     nan     nan],[    nan 0.66885     nan     nan],1.3439035240356338
100.1,1.361356816555577,0,[    nan 0.68381     nan     nan],[    nan 0.67755     nan     nan],1.361356816555577
100.1,1.3788101090755203,0,[    nan 0.69257     nan     nan],[    nan 0.68624     nan     nan],1.3788101090755203
100.1,1.3962634015954636,0,[    nan 0.70133     nan     nan],[    nan 0.69493     nan     nan],1.3962634015954636
100.1,1.413716694115407,0,[    nan 0.71009     nan     nan],[    nan 0.70363     nan     nan],1.413716694115407
100.1,1.4311699866353502,0,[    nan 0.71885     nan     nan],[    nan 0.71232     nan     nan],1.4311699866353502
100.1,1.4486232791552935,0,[    nan 0.72761     nan     nan],[    nan 0.72101     nan     nan],1.4486232791552935
100.1,1.4660765716752369,0,[    nan 0.73637     nan     nan],[    nan 0.72971     nan     nan],1.4660765716752369
100.1,1.4835298641951802,0,[    nan 0.74513     nan     nan],[   nan 0.7384    nan    nan],1.4835298641951802
100.1,1.5009831567151235,0,[    nan 0.75389     nan     nan],[   nan 0.7471    nan    nan],1.5009831567151235
100.1,1.5184364492350666,0,[    nan 0.76264     nan     nan],[    nan 0.75579     nan     nan],1.5184364492350666
100.1,1.53588974175501,0,[   nan 0.7714    nan    nan],[    nan 0.76449     nan     nan],1.53588974175501
100.1,1.5533430342749532,0,[    nan 0.78016     nan     nan],[    nan 0.77318     nan     nan],1.5533430342749532
100.1,1.5707963267948966,0,[0.78892     nan],[0.78188     nan],1.5707963267948966
100.1,1.5882496193148399,0,[    nan     nan 2.36843     nan],[     nan      nan -0.78019      nan],1.5882496193148399
100.1,1.6057029118347832,0,[    nan     nan 2.37713     nan],[     nan      nan -0.77143      nan],1.6057029118347832
100.1,1.6231562043547265,0,[    nan     nan 2.38583     nan],[     nan      nan -0.76267      nan],1.6231562043547265
100.1,1.6406094968746698,0,[    nan     nan 2.39452     nan],[     nan      nan -0.75391      nan],1.6406094968746698
100.1,1.6580627893946132,0,[    nan     nan 2.40321     nan],[     nan      nan -0.74515      nan],1.6580627893946132
100.1,1.6755160819145565,0,[    nan     nan 2.41191     nan],[     nan      nan -0.73639      nan],1.6755160819145565
100.1,1.6929693744344996,0,[   nan    nan 2.4206    nan],[     nan      nan -0.72763      nan],1.6929693744344996
100.1,1.710422666954443,0,[   nan    nan 2.4293    nan],[     nan      nan -0.71887      nan],1.710422666954443
100.1,1.7278759594743862,0,[    nan     nan 2.43799     nan],[     nan      nan -0.71011      nan],1.7278759594743862
100.1,1.7453292519943295,0,[    nan     nan 2.44668     nan],[     nan      nan -0.70135      nan],1.7453292519943295
100.1,1.7627825445142729,0,[    nan     nan 2.45538     nan],[     nan      nan -0.69259      nan],1.7627825445142729
100.1,1.7802358370342162,0,[    nan     nan 2.46407     nan],[     nan      nan -0.68383      nan],1.7802358370342162
100.1,1.7976891295541595,0,[    nan     nan 2.47276     nan],[     nan      nan -0.67507      nan],1.7976891295541595
100.1,1.8151424220741028,0,[    nan     nan 2.48145     nan],[     nan      nan -0.66631      nan],1.8151424220741028
100.1,1.8325957145940461,0,[    nan     nan 2.49015     nan],[     nan      nan -0.65755      nan],1.8325957145940461
100.1,1.8500490071139892,0,[    nan     nan 2.49884     nan],[     nan      nan -0.64879      nan],1.8500490071139892
100.1,1.8675022996339325,0,[    nan     nan 2.50753     nan],[     nan      nan -0.64003      nan],1.8675022996339325
100.1,1.8849555921538759,0,[    nan     nan 2.51622     nan],[     nan      nan -0.63127      nan],1.8849555921538759
100.1,1.9024088846738192,0,[    nan     nan 2.52491     nan],[    nan     nan -0.6225     nan],1.9024088846738192
100.1,1.9198621771937625,0,[   nan    nan 2.5336    nan],[     nan      nan -0.61374      nan],1.9198621771937625
100.1,1.9373154697137058,0,[    nan     nan 2.54229     nan],[     nan      nan -0.60498      nan],1.9373154697137058
100.1,1.9547687622336491,0,[    nan     nan 2.55099     nan],[     nan      nan -0.59622      nan],1.9547687622336491
100.1,1.9722220547535925,0,[    nan     nan 2.55968     nan],[     nan      nan -0.58745      nan],1.9722220547535925
100.1,1.9896753472735358,0,[    nan     nan 2.56837     nan],[     nan      nan -0.57869      nan],1.9896753472735358
100.1,2.007128639793479,0,[    nan     nan 2.57706     nan],[     nan      nan -0.56993      nan],2.007128639793479
100.1,2.0245819323134224,0,[    nan     nan 2.58575     nan],[     nan      nan -0.56116      nan],2.0245819323134224
100.1,2.0420352248333655,0,[    nan     nan 2.59443     nan],[    nan     nan -0.5524     nan],2.0420352248333655
100.1,2.059488517353309,0,[    nan     nan 2.60312     nan],[     nan      nan -0.54364      nan],2.059488517353309
100.1,2.076941809873252,0,[    nan     nan 2.61181     nan],[     nan      nan -0.53487      nan],2.076941809873252
100.1,2.0943951023931953,0,[   nan    nan 2.6205    nan],[     nan      nan -0.52611      nan],2.0943951023931953
100.1,2.111848394913139,0,[    nan     nan 2.62919     nan],[     nan      nan -0.51734      nan],2.111848394913139
100.1,2.129301687433082,0,[    nan     nan 2.63788     nan],[     nan      nan -0.50858      nan],2.129301687433082
100.1,2.1467549799530254,0,[    nan     nan 2.64657     nan],[     nan      nan -0.49981      nan],2.1467549799530254
100.1,2.1642082724729685,0,[    nan     nan 2.65526     nan],[     nan      nan -0.49105      nan],2.1642082724729685
100.1,2.181661564992912,0,[    nan     nan 2.66394     nan],[     nan      nan -0.48228      nan],2.181661564992912
100.1,2.199114857512855,0,[    nan     nan 2.67263     nan],[     nan      nan -0.47352      nan],2.199114857512855
100.1,2.2165681500327987,0,[    nan     nan 2.68132     nan],[     nan      nan -0.46475      nan],2.2165681500327987
100.1,2.234021442552742,0,[    nan     nan 2.69001     nan],[     nan      nan -0.45599      nan],2.234021442552742
100.1,2.251474735072685,0,[    nan     nan 2.69869     nan],[     nan      nan -0.44722      nan],2.251474735072685
100.1,2.2689280275926285,0,[    nan     nan 2.70738     nan],[     nan      nan -0.43845      nan],2.2689280275926285
100.1,2.2863813201125716,0,[    nan     nan 2.71607     nan],[     nan      nan -0.42969      nan],2.2863813201125716
100.1,2.303834612632515,0,[    nan     nan 2.72475     nan],[     nan      nan -0.42092      nan],2.303834612632515
100.1,2.321287905152458,0,[    nan     nan 2.73344     nan],[     nan      nan -0.41215      nan],2.321287905152458
100.1,2.3387411976724017,0,[    nan     nan 2.74213     nan],[     nan      nan -0.40339      nan],2.3387411976724017
100.1,2.356194490192345,0,[    nan     nan 2.75081     nan],[     nan      nan -0.39462      nan],2.356194490192345
100.1,2.3736477827122884,0,[   nan    nan 2.7595    nan],[     nan      nan -0.38585      nan],2.3736477827122884
100.1,2.3911010752322315,0,[    nan     nan 2.76819     nan],[     nan      nan -0.37709      nan],2.3911010752322315
100.1,2.4085543677521746,0,[    nan     nan 2.77687     nan],[     nan      nan -0.36832      nan],2.4085543677521746
100.1,2.426007660272118,0,[    nan     nan 2.78556     nan],[     nan      nan -0.35955      nan],2.426007660272118
100.1,2.443460952792061,0,[    nan     nan 2.79424     nan],[     nan      nan -0.35078      nan],2.443460952792061
100.1,2.4609142453120048,0,[    nan     nan 2.80293     nan],[     nan      nan -0.34201      nan],2.4609142453120048
100.1,2.478367537831948,0,[    nan     nan 2.81161     nan],[     nan      nan -0.33325      nan],2.478367537831948
100.1,2.4958208303518914,0,[   nan    nan 2.8203    nan],[     nan      nan -0.32448      nan],2.4958208303518914
100.1,2.5132741228718345,0,[    nan     nan 2.82898     nan],[     nan      nan -0.31571      nan],2.5132741228718345
100.1,2.530727415391778,0,[    nan     nan 2.83767     nan],[     nan      nan -0.30694      nan],2.530727415391778
100.1,2.548180707911721,0,[    nan     nan 2.84635     nan],[     nan      nan -0.29817      nan],2.548180707911721
100.1,2.5656340004316642,0,[    nan     nan 2.85504     nan],[    nan     nan -0.2894     nan],2.5656340004316642
100.1,2.5830872929516078,0,[    nan     nan 2.86372     nan],[     nan      nan -0.28064      nan],2.5830872929516078
100.1,2.600540585471551,0,[    nan     nan 2.87241     nan],[     nan      nan -0.27187      nan],2.600540585471551
100.1,2.6179938779914944,0,[    nan     nan 2.88109     nan],[    nan     nan -0.2631     nan],2.6179938779914944
100.1,2.6354471705114375,0,[    nan     nan 2.88978     nan],[     nan      nan -0.25433      nan],2.6354471705114375
100.1,2.652900463031381,0,[    nan     nan 2.89846     nan],[     nan      nan -0.24556      nan],2.652900463031381
100.1,2.670353755551324,0,[    nan     nan 2.90714     nan],[     nan      nan -0.23679      nan],2.670353755551324
100.1,2.6878070480712677,0,[    nan     nan 2.91583     nan],[     nan      nan -0.22802      nan],2.6878070480712677
100.1,2.705260340591211,0,[    nan     nan 2.92451     nan],[     nan      nan -0.21925      nan],2.705260340591211
100.1,2.722713633111154,0,[   nan    nan 2.9332    nan],[     nan      nan -0.21048      nan],2.722713633111154
100.1,2.7401669256310974,0,[    nan     nan 2.94188     nan],[     nan      nan -0.20171      nan],2.7401669256310974
100.1,2.7576202181510405,0,[    nan     nan 2.95056     nan],[     nan      nan -0.19294      nan],2.7576202181510405
100.1,2.775073510670984,0,[    nan     nan 2.95925     nan],[     nan      nan -0.18417      nan],2.775073510670984
100.1,2.792526803190927,0,[    nan     nan 2.96793     nan],[    nan     nan -0.1754     nan],2.792526803190927
100.1,2.8099800957108707,0,[    nan     nan 2.97661     nan],[     nan      nan -0.16663      nan],2.8099800957108707
100.1,2.827433388230814,0,[   nan    nan 2.9853    nan],[     nan      nan -0.15786      nan],2.827433388230814
100.1,2.8448866807507573,0,[    nan     nan 2.99398     nan],[     nan      nan -0.14909      nan],2.8448866807507573
100.1,2.8623399732707004,0,[    nan     nan 3.00266     nan],[     nan      nan -0.14032      nan],2.8623399732707004
100.1,2.8797932657906435,0,[    nan     nan 3.01135     nan],[     nan      nan -0.13155      nan],2.8797932657906435
100.1,2.897246558310587,0,[    nan     nan 3.02003     nan],[     nan      nan -0.12278      nan],2.897246558310587
100.1,2.91469985083053,0,[    nan     nan 3.02871     nan],[     nan      nan -0.11401      nan],2.91469985083053
100.1,2.9321531433504737,0,[   nan    nan 3.0374    nan],[     nan      nan -0.10524      nan],2.9321531433504737
100.1,2.949606435870417,0,[    nan     nan 3.04608     nan],[     nan      nan -0.09647      nan],2.949606435870417
100.1,2.9670597283903604,0,[    nan     nan 3.05476     nan],[    nan     nan -0.0877     nan],2.9670597283903604
100.1,2.9845130209103035,0,[    nan     nan 3.06345     nan],[     nan      nan -0.07893      nan],2.9845130209103035
100.1,3.001966313430247,0,[    nan     nan 3.07213     nan],[     nan      nan -0.07016      nan],3.001966313430247
100.1,3.01941960595019,0,[    nan     nan 3.08081     nan],[     nan      nan -0.06139      nan],3.01941960595019
