replicate	time	result	x	y	cue_reached
8	0	True	4.460874705732044	500.416327783536	-1
8	50	True	6.189973639522015	500.3681807337867	-1
8	100	True	9.962344868359143	499.31331661839135	-1
8	150	True	14.27116551092164	498.5248680389947	-1
8	200	True	18.765665925570797	497.97042491751364	-1
8	250	True	23.373914760410496	497.8479697582563	-1
8	300	True	27.837682503613834	497.59325039855383	-1
8	350	True	32.32677630988606	497.024156763482	-1
8	400	True	36.670397821132624	496.1146618447064	-1
8	450	True	41.11692418222849	495.5968179478836	-1
8	500	True	45.69110936679311	496.35874873227993	-1
8	550	True	50.361981270739534	495.968352323607	-1
8	600	True	54.8505951466731	494.9650752304076	-1
8	650	True	59.432563688417275	494.2758279366631	-1
8	700	True	63.930215184069354	493.323647576407	-1
8	750	True	68.36220027916632	492.3565239915059	-1
8	800	True	72.84610416136756	491.3786249498287	-1
8	850	True	77.33950760863962	490.69588615976136	-1
8	900	True	81.84182994875191	490.1162587395101	-1
8	950	True	86.46358934905456	489.40333972531937	-1
8	1000	True	91.10764248538061	489.3482601814687	-1
8	1050	True	95.56391143400849	489.8006728089671	-1
8	1100	True	100.10750774385858	490.1888694467121	-1
8	1150	True	104.75442237427679	490.751996651813	-1
8	1200	True	109.25701895201678	491.9577095000494	-1
8	1250	True	113.77696205530995	492.83850587499296	-1
8	1300	True	118.43615358205544	492.97499322982	-1
8	1350	True	123.03595175654229	492.3259442439035	-1
8	1400	True	127.64942120028068	491.5829230675346	-1
8	1450	True	132.09868508156273	490.11702633881254	-1
8	1500	True	136.3399349868472	488.72909048274994	-1
8	1550	True	140.58483777729217	487.22732455648634	-1
8	1600	True	145.13280222652565	488.15136412870476	-1
8	1650	True	149.31927717452217	490.02812779153186	-1
8	1700	True	153.51870915270294	491.2434208396707	-1
8	1750	True	158.11829602607864	491.37656537421424	-1
8	1800	True	162.67809217811876	490.8664124140749	-1
8	1850	True	167.27629080648435	491.5163013279147	-1
8	1900	True	171.55469203695418	492.8998197745062	-1
8	1950	True	176.09823847306774	493.4205781110614	-1
8	2000	True	180.3387163019721	495.26447826455205	-1
8	2050	True	184.4598838102302	497.3082345018463	-1
8	2100	True	188.96969607185017	498.4768532995103	-1
8	2150	True	193.52502769970624	499.22542310855874	-1
8	2200	True	198.0115211000485	499.1765086448404	-1
8	2250	True	202.49857226737507	499.6786208745983	-1
8	2300	False	206.1895473516147	500.42768964157705	-1
8	2300	False	206.1895473516147	500.42768964157705	-1
15	0	True	4.259941287314804	499.9581380373061	-1
15	50	True	5.284410132590335	499.44551377671235	-1
15	100	True	9.06427405853925	499.52113953547973	-1
15	150	True	13.554556140071174	499.2739073430193	-1
15	200	True	18.087993030539863	499.4897887946137	-1
15	250	True	22.50528208727813	500.169524284462	-1
15	300	True	27.025726458192526	500.6509521727364	-1
15	350	True	31.592168529484	500.36774704675895	-1
15	400	True	36.13137553604072	500.32050426737976	-1
15	450	True	40.731499750223264	500.5515951961535	-1
15	500	True	45.25317082967591	500.77144549419484	-1
15	550	True	49.81690260609559	501.48122474898713	-1
15	600	True	54.31442900164587	502.6909899338586	-1
15	650	True	58.90336693508222	503.6880349536147	-1
15	700	True	63.56963216975844	503.7301769522053	-1
15	750	True	68.18299887794265	503.79048852468367	-1
15	800	True	72.71764273220194	503.94216076638634	-1
15	850	True	77.24550542952471	504.92365161557854	-1
15	900	True	81.81033395888265	505.45122382774576	-1
15	950	True	86.44000261880596	505.7092028020308	-1
15	1000	True	91.05952051260017	505.73031376544384	-1
15	1050	True	95.6555817033478	505.6145351485763	-1
15	1100	True	100.24230541252798	505.6952053322238	-1
15	1150	True	104.72504780698856	506.37103437354	-1
15	1200	True	109.1851031191914	506.6236201401826	-1
15	1250	True	113.75777455840054	506.4513058190982	-1
15	1300	True	118.2622260772999	505.76729757176025	-1
15	1350	True	122.89633903444383	505.5215341731904	-1
15	1400	True	127.41467349047223	505.5182261507751	-1
15	1450	True	131.88465644303082	506.69115816516813	-1
15	1500	True	136.50477619837127	507.225834437704	-1
15	1550	True	141.1605659607622	507.60481699300516	-1
15	1600	True	145.69726474908884	508.1819314756307	-1
15	1650	True	150.33287341043106	508.6887448659071	-1
15	1700	True	154.91092120470736	509.1327277315831	-1
15	1750	True	159.40494586958053	508.51418907898733	-1
15	1800	True	163.98858627764244	508.3629206963751	-1
15	1850	True	168.57970249008753	508.71684314033513	-1
15	1900	True	172.9967239856155	507.88962610128016	-1
15	1950	True	177.28842227004696	506.6832585635542	-1
15	2000	True	181.67223531482003	505.369244246585	-1
15	2050	True	185.55462390368658	503.07382530608237	-1
15	2100	True	189.3872980336413	500.2952575904793	-1
15	2150	True	193.48064715222407	498.1138573542243	-1
15	2200	True	197.56130106757857	496.90154937633633	-1
15	2250	True	201.1443190216174	494.4398602159555	-1
15	2300	False	204.11522551535293	492.95305185316886	-1
15	2300	False	204.11522551535293	492.95305185316886	-1
6	0	True	4.582084470262602	500.46424591235797	-1
6	50	True	5.679855165409178	500.15197917034715	-1
6	100	True	9.174237008706806	499.4330645028177	-1
6	150	True	13.608643047130869	499.4606700324132	-1
6	200	True	18.10268146890237	500.05952423482853	-1
6	250	True	22.495236603178476	500.9768814860706	-1
6	300	True	27.059688206210218	501.8242834833532	-1
6	350	True	31.657830339255266	502.7818461200267	-1
6	400	True	36.326389092731446	502.4204821802398	-1
6	450	True	40.88141269852238	502.5851561332826	-1
6	500	True	45.48148881268603	502.86834224986774	-1
6	550	True	50.057157694092034	503.1910988523559	-1
6	600	True	54.6957332498825	503.25930684150325	-1
6	650	True	59.33324308613842	503.4382157687803	-1
6	700	True	63.91344672763644	503.8672848426342	-1
6	750	True	68.49832727473019	504.7183028195016	-1
6	800	True	73.17823661885109	504.63394913285885	-1
6	850	True	77.78026436294634	505.12332743179405	-1
6	900	True	82.48433697170832	505.2414331578128	-1
6	950	True	87.16521480299619	505.579246982742	-1
6	1000	True	91.773806686925	505.95264807645	-1
6	1050	True	96.46514774722976	505.8506725439651	-1
6	1100	True	101.09295954513942	505.52655039968664	-1
6	1150	True	105.5835331924285	504.7681668107556	-1
6	1200	True	110.08205626541185	505.305275851256	-1
6	1250	True	114.6178430782493	505.52492594802584	-1
6	1300	True	119.17007160202539	505.44197640482406	-1
6	1350	True	123.66888330548245	504.32100499988087	-1
6	1400	True	127.94050022817515	502.8995209491866	-1
6	1450	True	132.41391872748912	503.2630262153777	-1
6	1500	True	136.99032481587565	503.517030027682	-1
6	1550	True	141.54073794880736	504.41428379762783	-1
6	1600	True	145.93407900324644	505.67518636221445	-1
6	1650	True	150.34554789553835	507.158873572696	-1
6	1700	True	154.53037048997197	509.2768916477169	-1
6	1750	True	158.5812648766556	511.55211764512103	-1
6	1800	True	162.92775346214265	513.1688667584746	-1
6	1850	True	167.04943183397523	515.1679505430883	-1
6	1900	True	171.4158965119241	516.8485895026533	-1
6	1950	True	175.3329944611536	519.2924406112033	-1
6	2000	True	179.33001880700616	521.670259717745	-1
6	2050	True	183.3470343714472	523.9596665598729	-1
6	2100	True	187.2427955608576	526.3775735465684	-1
6	2150	True	191.36393515054698	528.14211439569	-1
6	2200	True	195.51064458101933	530.2586702229013	-1
6	2250	True	199.81587879492352	532.1871364323881	-1
6	2300	True	204.2270583602048	532.8896586260643	-1
6	2350	False	207.96888152848277	533.1735272902694	-1
6	2350	False	207.96888152848277	533.1735272902694	-1
31	0	True	5.496627304503259	500.47954768666455	-1
31	50	True	7.936548562419073	500.9000318267565	-1
