replicate	time	result	x	y	cue_reached
8	0	True	5.64653959069332600507	500.85044911171894455038	-1
8	50	True	6.91278937442432450666	502.60514100148287752745	-1
8	100	True	11.27532026820521160460	502.77848382298856222405	-1
8	150	True	15.92927302426336133578	502.33563884203675797835	-1
8	200	True	20.65702877726674913106	502.06930482307177499024	-1
8	250	True	25.40292186969257670626	501.75420224894497778223	-1
8	300	True	30.11101961916836344813	501.66181517076512363928	-1
8	350	True	34.79253891034980483710	501.58119487538766634316	-1
8	400	True	39.43927237730238744007	501.97601283461938237451	-1
8	450	True	44.18728904245372035575	502.02081058971975835448	-1
8	500	True	48.92315689935752942574	501.21153056945144044221	-1
8	550	True	53.57391513948246597465	500.21936308895845968436	-1
8	600	True	58.36522143302214971072	499.79648905206693143555	-1
8	650	True	63.18199899009518105686	499.49398672174572766380	-1
8	700	True	67.98903035802533167953	499.01613662013124894656	-1
8	750	True	72.69342644836110878259	498.19820528322253494480	-1
8	800	True	77.41490846137679682215	497.68879923226324990537	-1
8	850	True	82.19398980940690080388	497.15552504422629453984	-1
8	900	True	86.76632422229748442533	495.73602457336562565615	-1
8	950	True	91.20399019968135689851	494.10814466779953590958	-1
8	1000	True	95.68931780121933172722	492.70781277135455411553	-1
8	1050	True	100.13498209498041546794	491.01461235791362014425	-1
8	1100	True	104.74371455016439824703	489.73070443182189137588	-1
8	1150	True	109.09571892968399708934	487.99581028098782553570	-1
8	1200	True	113.28727119903871312090	485.74628386110578048829	-1
8	1250	True	117.36750050981730453259	483.45745375937775634156	-1
8	1300	True	121.20703101317991468022	480.85516532981392856527	-1
8	1350	True	124.63306238982340801158	477.77256412854052314287	-1
8	1400	True	128.16101745346864504427	474.59426953427833950627	-1
8	1450	True	131.55365042644319828469	471.27705837276766942523	-1
8	1500	True	135.34117495100039718636	468.49635679448812197734	-1
8	1550	True	139.00974962599835293986	465.54776286785335059903	-1
8	1600	True	142.62714249952307454805	462.54086808165823185846	-1
8	1650	True	146.33613417516559707110	459.57484381618695579164	-1
8	1700	True	150.07029436901535746074	456.67361250757062407502	-1
8	1750	True	153.86255825110598038918	454.03331345888921077858	-1
8	1800	True	157.93720983453326311974	451.72643319267001515982	-1
8	1850	True	162.07598587468621076368	449.59989735029830626445	-1
8	1900	True	165.98138503129791843094	446.88724367829593120405	-1
8	1950	True	169.76738406949687032466	444.03022337033559097108	-1
8	2000	True	173.47554312479331883878	441.16707610952403229021	-1
8	2050	True	176.81037451218796263674	437.98796573910800589147	-1
8	2100	True	180.17277899296988152855	434.70083002758332213489	-1
8	2150	True	183.96031159132192556172	431.94535204175679155014	-1
8	2200	True	187.97449122859384829098	429.51178871046874974127	-1
8	2250	True	191.97017434543298008975	427.49239730675623150091	-1
8	2300	True	195.71015654180669685047	424.66963215874909565173	-1
8	2350	True	199.14212111229920765254	421.54424621474362311346	-1
8	2400	True	202.72453792388384385958	418.46889185500816665808	-1
8	2450	True	206.72546288878345421836	415.96908369437250030387	-1
8	2500	True	210.35482165661477438334	413.17623657453702890052	-1
8	2550	True	214.08250850485896421560	410.34957000370872037820	-1
8	2600	True	217.93690950049762022900	407.70827124617943582052	-1
8	2650	True	221.79951386033843618861	405.13944558437299292564	-1
8	2700	True	225.42910080872439948507	402.06174347716864758695	-1
8	2750	True	229.08980677260782954363	399.11354523848501685279	-1
8	2800	True	233.16701032949956129414	396.81687574916082894561	-1
8	2850	True	237.29172257618830599313	394.57506915870021657611	-1
8	2900	True	241.15978478171342658243	391.85853349309121540500	-1
8	2950	True	245.13999695454586458254	389.43538722957532627333	-1
8	3000	True	248.84321563093411100454	386.75532598099124470536	-1
8	3050	True	252.57792789144147604929	383.91643743867723514995	-1
8	3100	True	255.99192651406440290884	380.73983616567073795522	-1
8	3150	True	259.93943678998681434678	378.15513802703662804561	-1
8	3200	True	263.47608621059060851621	375.40401388639304514072	-1
8	3250	True	267.26407151014205965112	372.60671974722362165267	-1
8	3300	True	271.14552577185901327539	370.10155967068368454420	-1
8	3350	True	275.02184685051986434701	367.43100138124430031894	-1
8	3400	True	279.32007162262277688569	365.81004283962971612709	-1
8	3450	True	283.26836110959169445778	363.35946067794105829307	-1
8	3500	True	286.86749959460553327517	360.35207590792850851358	-1
8	3550	True	290.36408837417945960624	357.12961098654517400064	-1
8	3600	True	293.96079991522532282033	354.03113399788458082185	-1
8	3650	True	297.68546654542444684921	351.28826837152922735186	-1
8	3700	True	301.46947861576416016760	348.54880042655059924073	-1
8	3750	True	304.97327631722515661750	345.36975623140853031146	-1
8	3800	True	308.64749394359108691788	342.38407679273717576507	-1
8	3850	True	312.29418385517118395001	339.40855028228617129571	-1
8	3900	True	315.64323670636366614417	336.01486621904223284218	-1
8	3950	True	319.27629746943767941048	332.94339454597212579756	-1
8	4000	True	322.49684989704161353075	329.52230399433028651401	-1
8	4050	True	325.32353361544943481931	325.78729492735317307961	-1
8	4100	True	328.54582504711555657195	322.35886124831961296877	-1
8	4150	True	331.79230670123757818146	319.26670655243464125306	-1
8	4200	True	335.82272153726808028296	316.86351687971074397865	-1
8	4250	True	339.66231005464123882120	314.12920829772372144362	-1
8	4300	True	343.21869191967181222935	311.07958253866121367537	-1
8	4350	True	346.60492741961627416458	307.80965154321654608793	-1
8	4400	True	349.85441978017905739762	304.41482171452264537947	-1
8	4450	True	353.04014504600922919053	300.92860111261154543172	-1
8	4500	True	356.67981167132387554375	297.94259702578824544617	-1
8	4550	True	360.03532151652223092242	294.62345013677645511052	-1
8	4600	True	363.38626039683396129476	291.37181886678331466101	-1
8	4650	True	367.15370457856005259600	288.48614614898900754270	-1
8	4700	True	370.93083225935390601080	285.70297116984090735059	-1
8	4750	True	374.81427394599779745477	283.05911277356602795408	-1
8	4800	True	379.09052251475168304751	281.18660847761708510006	-1
8	4825	True	381.17753635099307985001	280.05094547289132833612	0
48	0	True	5.06557770104330451488	499.74499556937348643260	-1
48	50	True	6.82534437538317106942	500.55663641890890858122	-1
48	100	True	11.19756998823402405208	501.12412701463040320959	-1
48	150	True	15.77862411409137877172	500.74405129566770256133	-1
48	200	True	20.41236740843289609870	500.50305838259856727746	-1
48	250	True	25.13854292174586291253	499.97361261139695898237	-1
48	300	True	29.80555724143565399231	500.08386477276292225724	-1
48	350	True	34.42595213851874547117	500.29428559333064185921	-1
48	400	True	39.04547043403454864574	500.30010631363057882481	-1
48	450	True	43.74258350937119388391	500.37529689474064298338	-1
48	500	True	48.48147346846803174003	500.39374747101112461678	-1
48	550	True	53.17786182361961522247	499.98145423931134700979	-1
48	600	True	57.91281401576255660757	499.25080769102549993477	-1
48	650	True	62.63413618501928681326	498.61692795922783716378	-1
48	700	True	67.32060111973828497867	498.07092940401304304032	-1
