replicate	time	result	x	y	cue_reached
78	0	True	4.71120597333878610158	499.85832545379872726699	-1
78	50	True	6.97151893854122839400	499.84999626694843755104	-1
78	100	True	11.27572940419035063542	499.76815379501033476117	-1
78	150	True	16.00799370469843907472	499.79536971922249222189	-1
78	200	True	20.79759851192683939303	499.49606571872010363222	-1
78	250	True	25.60749013232584303523	499.33376039453560224501	-1
78	300	True	30.39613172734192758639	499.20967329761003838939	-1
78	350	True	35.21632301730119252170	498.96569507340279869823	-1
78	400	True	40.02870795331625686231	498.92052700523657904341	-1
78	450	True	44.81153448449158105404	498.79692119772329306215	-1
78	500	True	49.61024243635761621363	498.97864969196592710432	-1
78	550	True	54.42962458370906375649	499.19982137505519403931	-1
78	600	True	59.08272807090272493724	498.53860067103101982866	-1
78	650	True	63.81623626631146350974	498.55946611192990758354	-1
78	700	True	68.58978492914872049369	499.10043614750816232117	-1
78	750	True	73.24979816624474437958	500.09291145096472064324	-1
78	800	True	78.07236672358506268665	500.66697588959902986971	-1
78	850	True	82.82495143776674240144	501.47008001705449942165	-1
78	900	True	87.56858080598516380633	502.04460392536418567033	-1
78	950	True	92.35098952673236283317	502.11312293404171214206	-1
78	1000	True	97.17005529489388493403	502.45194428075626547070	-1
78	1050	True	101.97378047776213350062	502.75557100703684909604	-1
78	1100	True	106.72843284998414503661	503.60132115537538766148	-1
78	1150	True	111.53997057696693673279	503.75592851558957363522	-1
78	1200	True	116.28998463694084364306	504.54090070764198117104	-1
78	1250	True	121.02657202876544317860	504.76145903091867239709	-1
78	1300	True	125.82119454137729519516	504.55115365297740481765	-1
78	1350	True	130.64804732434092215954	504.26271303426671011039	-1
78	1400	True	135.45969713837115477872	504.09988759204480857079	-1
78	1450	True	140.24418924039289890970	504.66223429486620943862	-1
78	1500	True	144.90774980087880408064	505.86059585557967466229	-1
78	1550	True	149.56360537695672974223	507.16876024715736548387	-1
78	1600	True	153.94713497012469360925	508.72473047576090721122	-1
78	1650	False	158.06008611169286837139	509.77490145746003236127	-1
78	1650	False	158.06008611169286837139	509.77490145746003236127	-1
87	0	True	5.06511859615047832506	499.94918616570049607617	-1
87	50	True	7.04114913955565135950	500.19946752227860997664	-1
87	100	True	11.13357282767485045838	500.89434384748432194101	-1
87	150	True	15.88493798018978253594	501.57601437815907274853	-1
87	200	True	20.51287360549988036951	502.52701940219139942201	-1
87	250	True	25.23606632229205004592	503.16614318335990674314	-1
87	300	True	29.96673975131075806644	503.28353103026086046157	-1
87	350	True	34.71878276676265073775	502.96068187325090548256	-1
87	400	True	39.42656945455124173350	502.59247455547512117846	-1
87	450	True	44.15336372023261191089	501.99480847431067331854	-1
87	500	True	48.90293690523417780014	502.18628505833373765199	-1
87	550	True	53.65876437325876935347	502.65013851799460553593	-1
87	600	True	58.40868674529588133737	503.00828554142390203197	-1
87	650	True	63.17617790805127953035	503.17726103317005481586	-1
87	700	True	67.95852826555977799217	503.50218257030672930341	-1
87	750	True	72.71483183237684500000	503.75871702765391546563	-1
87	800	True	77.49689558230166142039	503.65870459109584089674	-1
87	850	True	82.26316311666924718793	503.60411416984942434283	-1
87	900	True	87.00908225102512005833	503.71568949975841178457	-1
87	950	True	91.71408105721047832048	503.12497317691219222979	-1
87	1000	True	96.48862638234024302619	502.79559228027767403546	-1
87	1050	True	101.19600795689042627146	502.04743950243789640808	-1
87	1100	True	105.89390490143499334863	501.51953122838608578604	-1
87	1150	True	110.72014263368561159950	501.24207916891100467183	-1
87	1200	True	115.42903778450842366965	500.99909484608122056670	-1
87	1250	True	120.02427222406987539216	499.94525221180123253362	-1
87	1300	True	124.71183470235447998675	499.44307502831162537404	-1
87	1350	True	129.42096163712787415534	498.44191410829910182656	-1
87	1400	True	133.98950951221837613048	496.99959522919658638784	-1
87	1450	True	138.62788818280100144875	495.60684424140163173433	-1
87	1500	True	143.16058234659260506305	493.97101913169842646312	-1
87	1550	True	147.21345527207151349103	491.53934422532557846353	-1
87	1600	True	151.14136038932744554586	488.98597539213744767039	-1
87	1650	True	155.01458833599008357851	486.13019521853959759028	-1
87	1700	True	158.87011199041617715011	483.26646918922455142820	-1
87	1750	False	162.50087118637000571653	480.54684200707293939558	-1
87	1750	False	162.50087118637000571653	480.54684200707293939558	-1
39	0	True	5.10155144822538364480	499.62877402411061211751	-1
39	50	True	7.26608283172166125041	499.18241723847899038446	-1
39	100	True	11.48020588892281956817	499.16772044092277837990	-1
39	150	True	16.29653379004910718209	499.41610251572166134792	-1
39	200	True	21.01254559622442030786	499.78606915127932097676	-1
39	250	True	25.78894986029959213170	499.73803553350859374405	-1
39	300	True	30.63035216004838190429	500.12299548910226576481	-1
39	350	True	35.35207911689003168476	500.95232631901518516315	-1
39	400	True	40.13158086700052962215	501.12867202200618521601	-1
39	450	True	44.93254022827693461295	501.17766095284440552859	-1
39	500	True	49.73167709138144942926	501.40377920883901197158	-1
39	550	True	54.50776879879528280526	501.58468501580358633873	-1
39	600	True	59.17304682824822492648	501.75424879369188602141	-1
39	650	True	63.94927556286403813601	502.16863941834049001045	-1
39	700	True	68.61295445606879184197	502.65027587502419237353	-1
39	750	True	73.41050971639717204198	502.61689574767711974346	-1
39	800	True	78.21802496090431588982	502.71687318338678096552	-1
39	850	True	82.99405864266934429452	503.30545056379889956588	-1
39	900	True	87.73073234758564353797	503.98262631208780248926	-1
39	950	True	92.41994312870998840026	504.89227877969466362629	-1
39	1000	True	97.18891592354729880299	505.53916308285533887101	-1
39	1050	True	101.77544683498224742380	506.73786945066331099952	-1
39	1100	True	106.41723909195094677216	507.79735663781286802987	-1
39	1150	True	110.87456331675863907549	509.36029496188581333627	-1
39	1200	True	115.50365770316412294960	510.60973984689849203278	-1
39	1250	True	120.10466534825468443159	511.95658783037850980691	-1
39	1300	True	124.81668295822449010757	512.50038824665114134405	-1
39	1350	True	129.46775398231264375681	511.94339578923148792455	-1
39	1400	True	134.22976165191428776780	511.14482592197350641072	-1
39	1450	True	138.96558995240107492464	510.71633762215680008012	-1
39	1500	True	143.82587312777084775917	510.61068884794440236874	-1
39	1550	True	148.69147244941896701675	510.56931554695177055692	-1
39	1600	True	153.52106948924878793150	510.18187333599496469105	-1
39	1650	True	158.14610746187366885351	509.09200364078515121946	-1
39	1700	True	162.52781809769055598736	507.26679155308653434986	-1
39	1750	True	166.74526850342039097086	505.10701138114671948642	-1
39	1800	True	171.20270707458271886026	503.64585156010502942081	-1
39	1850	False	175.42554037264415001118	502.74561921880081172276	-1
39	1850	False	175.42554037264415001118	502.74561921880081172276	-1
72	0	True	4.50987610226773760758	500.08584571940821206226	-1
72	50	True	5.61904005172379950039	500.49523839045633621936	-1
72	100	True	9.73939113859813510032	501.00068843298419096755	-1
72	150	True	14.34089461666849452115	501.12579699776011921131	-1
72	200	True	19.04010737329353375458	500.91547705973130177881	-1
72	250	True	23.81436194058649391536	500.88785437759560181803	-1
